Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %
16.03.2023,405.60,410.00,397.40,409.30,239614,-0.9
15.03.2023,412.90,413.60,403.50,405.00,218038,1.95
14.03.2023,406.00,415.30,400.60,412.60,262923,-1.6
13.03.2023,415.50,418.00,403.20,405.10,573415,2.57
10.03.2023,404.00,415.00,400.60,414.60,414453,-2.56
09.03.2023,399.60,408.20,399.60,407.40,358345,-1.91
08.03.2023,396.00,403.90,392.00,403.50,269417,-1.86
07.03.2023,390.60,400.50,389.50,394.30,305166,-0.94
06.03.2023,385.50,390.00,382.60,389.10,125175,-0.93
03.03.2023,376.90,383.20,375.80,382.70,149473,-1.52
02.03.2023,373.50,376.70,370.70,376.20,140828,-0.72
01.03.2023,374.00,376.60,370.40,373.40,143418,0.16
28.02.2023,371.40,375.90,366.70,371.60,259973,-0.05
27.02.2023,372.00,372.00,367.20,370.80,105363,0.32
24.02.2023,374.10,374.10,366.60,370.00,94666,1.11
23.02.2023,365.40,374.10,363.90,372.50,221410,-1.91
22.02.2023,372.50,372.50,359.40,361.30,307542,3.1
21.02.2023,370.20,371.80,367.20,371.50,393634,-0.35
20.02.2023,371.80,372.50,364.80,370.00,74024,0.49
17.02.2023,367.70,372.30,364.40,371.40,158951,-1.0
16.02.2023,372.00,373.00,365.10,368.00,85205,1.09
15.02.2023,357.20,371.90,357.20,370.00,247102,-3.46
14.02.2023,369.60,370.80,357.10,359.30,153070,2.87
13.02.2023,368.30,370.70,361.40,364.00,100859,1.18
10.02.2023,376.60,376.90,362.50,365.50,224390,3.04
09.02.2023,380.00,382.90,373.50,376.00,143888,1.06
08.02.2023,384.20,385.90,375.90,376.90,121414,1.94
07.02.2023,385.20,388.00,381.10,382.40,123478,0.73
06.02.2023,387.70,387.70,379.50,379.50,183230,2.16
03.02.2023,388.00,392.90,379.20,385.90,195407,0.54
02.02.2023,385.80,388.00,377.70,380.00,217214,1.53
01.02.2023,392.00,393.90,379.90,380.40,332979,3.05
31.01.2023,392.70,394.60,383.90,391.10,263053,0.41
30.01.2023,388.40,393.10,382.90,392.60,205655,-1.07
27.01.2023,386.70,390.20,384.10,387.20,103104,-0.13
26.01.2023,379.90,391.10,379.60,386.40,269701,-1.68
25.01.2023,374.70,380.30,371.40,375.40,257457,-0.19
24.01.2023,373.00,377.90,372.20,374.10,110155,-0.29
03.04.2023,391.10,397.90,386.90,387.50,177896,0.93
31.03.2023,385.50,391.10,381.10,391.10,449992,-1.43
30.03.2023,386.00,389.20,380.70,382.90,358060,0.81
29.03.2023,400.40,400.40,384.50,385.30,331390,3.92
28.03.2023,391.20,403.00,391.20,400.40,312830,-2.3
27.03.2023,387.40,395.00,386.30,391.10,355597,-0.95
24.03.2023,391.00,396.30,377.00,387.20,961876,0.98
23.03.2023,418.00,418.10,402.00,403.30,250476,3.64
22.03.2023,417.10,420.70,413.00,414.70,334062,0.58
21.03.2023,409.30,421.20,408.00,414.10,370564,-1.16
20.03.2023,409.50,412.80,398.40,410.30,264747,-0.19
17.03.2023,409.20,413.20,405.00,411.50,409219,-0.56
16.03.2023,405.60,410.00,397.40,409.30,239614,-0.9
15.03.2023,412.90,413.60,403.50,405.00,218038,1.95
14.03.2023,406.00,415.30,400.60,412.60,262923,-1.6
13.03.2023,415.50,418.00,403.20,405.10,573415,2.57
10.03.2023,404.00,415.00,400.60,414.60,414453,-2.56
09.03.2023,399.60,408.20,399.60,407.40,358345,-1.91
08.03.2023,396.00,403.90,392.00,403.50,269417,-1.86
07.03.2023,390.60,400.50,389.50,394.30,305166,-0.94
06.03.2023,385.50,390.00,382.60,389.10,125175,-0.93
03.03.2023,376.90,383.20,375.80,382.70,149473,-1.52
02.03.2023,373.50,376.70,370.70,376.20,140828,-0.72
01.03.2023,374.00,376.60,370.40,373.40,143418,0.16
28.02.2023,371.40,375.90,366.70,371.60,259973,-0.05
27.02.2023,372.00,372.00,367.20,370.80,105363,0.32
24.02.2023,374.10,374.10,366.60,370.00,94666,1.11
23.02.2023,365.40,374.10,363.90,372.50,221410,-1.91
22.02.2023,372.50,372.50,359.40,361.30,307542,3.1
21.02.2023,370.20,371.80,367.20,371.50,393634,-0.35
20.02.2023,371.80,372.50,364.80,370.00,74024,0.49
17.02.2023,367.70,372.30,364.40,371.40,158951,-1.0
16.02.2023,372.00,373.00,365.10,368.00,85205,1.09
15.02.2023,357.20,371.90,357.20,370.00,247102,-3.46
14.02.2023,369.60,370.80,357.10,359.30,153070,2.87
13.02.2023,368.30,370.70,361.40,364.00,100859,1.18
10.02.2023,376.60,376.90,362.50,365.50,224390,3.04
09.02.2023,380.00,382.90,373.50,376.00,143888,1.06
08.02.2023,384.20,385.90,375.90,376.90,121414,1.94
07.02.2023,385.20,388.00,381.10,382.40,123478,0.73
06.02.2023,387.70,387.70,379.50,379.50,183230,2.16
03.02.2023,388.00,392.90,379.20,385.90,195407,0.54
02.02.2023,385.80,388.00,377.70,380.00,217214,1.53
01.02.2023,392.00,393.90,379.90,380.40,332979,3.05
31.01.2023,392.70,394.60,383.90,391.10,263053,0.41
30.01.2023,388.40,393.10,382.90,392.60,205655,-1.07
27.01.2023,386.70,390.20,384.10,387.20,103104,-0.13
26.01.2023,379.90,391.10,379.60,386.40,269701,-1.68
25.01.2023,374.70,380.30,371.40,375.40,257457,-0.19
24.01.2023,373.00,377.90,372.20,374.10,110155,-0.29
