Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %
16.02.2023,35.50,36.55,34.78,36.50,339378,-2.74
15.02.2023,35.00,35.84,34.75,35.32,217667,-0.91
14.02.2023,35.81,36.18,34.82,35.09,317302,2.05
13.02.2023,37.00,37.20,35.15,35.61,529981,3.9
10.02.2023,37.81,37.85,35.92,36.93,524514,2.38
09.02.2023,38.00,38.70,37.80,38.00,211966,0.0
08.02.2023,38.95,38.99,37.45,37.65,440292,3.45
07.02.2023,38.60,39.10,37.25,38.30,413823,0.78
06.02.2023,40.80,41.09,39.11,39.28,327034,3.87
03.02.2023,42.00,42.24,40.74,41.09,141217,2.21
02.02.2023,41.81,42.78,41.60,42.00,260111,-0.45
01.02.2023,44.00,44.00,40.25,41.02,620431,7.26
31.01.2023,42.80,44.30,42.50,44.00,287807,-2.73
30.01.2023,42.40,42.96,41.62,42.90,159819,-1.17
27.01.2023,42.58,43.39,42.11,42.21,179870,0.88
26.01.2023,42.22,42.76,41.71,42.36,118170,-0.33
25.01.2023,42.30,42.80,41.60,41.72,147537,1.39
24.01.2023,42.59,43.72,42.37,42.55,242235,0.09
03.04.2023,38.60,39.18,38.13,38.28,119807,0.84
31.03.2023,36.68,39.00,36.57,38.59,255913,-4.95
30.03.2023,36.47,37.32,36.08,36.86,195162,-1.06
29.03.2023,36.00,36.45,35.67,36.09,112624,-0.25
28.03.2023,35.80,36.52,35.60,35.98,93597,-0.5
27.03.2023,35.88,35.99,35.22,35.72,41882,0.45
24.03.2023,36.87,36.87,35.14,35.53,115725,3.77
23.03.2023,36.59,37.11,35.66,36.80,121600,-0.57
22.03.2023,36.80,37.20,36.47,36.59,81075,0.57
21.03.2023,37.10,37.57,36.23,36.70,117491,1.09
20.03.2023,36.17,36.78,35.28,36.78,172556,-1.66
17.03.2023,35.50,36.58,35.27,36.17,580034,-1.85
16.03.2023,35.00,35.36,34.28,35.32,243256,-0.91
15.03.2023,35.87,36.11,34.87,35.00,216657,2.49
14.03.2023,35.00,35.73,34.68,35.70,166889,-1.96
13.03.2023,35.96,36.88,34.51,35.05,413456,2.6
10.03.2023,34.84,36.08,34.45,35.43,267103,-1.67
09.03.2023,35.20,35.27,34.54,35.23,116881,-0.09
08.03.2023,34.99,35.22,34.62,34.99,149631,0.0
07.03.2023,36.00,36.06,34.86,34.88,231989,3.21
06.03.2023,35.69,36.43,35.50,35.96,190409,-0.75
03.03.2023,35.08,35.71,34.83,35.45,163952,-1.04
02.03.2023,35.49,35.49,34.60,34.68,114327,2.34
01.03.2023,35.48,35.94,35.11,35.49,114209,-0.03
28.02.2023,35.10,35.52,34.80,35.39,117073,-0.82
27.02.2023,35.00,35.18,34.51,35.13,52761,-0.37
24.02.2023,35.18,35.39,34.42,34.76,130389,1.21
23.02.2023,34.26,35.43,34.04,35.04,252363,-2.23
22.02.2023,34.50,34.50,33.56,34.06,257881,1.29
21.02.2023,35.50,35.50,34.02,34.49,231283,2.93
20.02.2023,36.30,36.42,35.05,35.19,174522,3.15
17.02.2023,36.55,36.62,35.58,36.02,223804,1.47
16.02.2023,35.50,36.55,34.78,36.50,339378,-2.74
15.02.2023,35.00,35.84,34.75,35.32,217667,-0.91
14.02.2023,35.81,36.18,34.82,35.09,317302,2.05
13.02.2023,37.00,37.20,35.15,35.61,529981,3.9
10.02.2023,37.81,37.85,35.92,36.93,524514,2.38
09.02.2023,38.00,38.70,37.80,38.00,211966,0.0
08.02.2023,38.95,38.99,37.45,37.65,440292,3.45
07.02.2023,38.60,39.10,37.25,38.30,413823,0.78
06.02.2023,40.80,41.09,39.11,39.28,327034,3.87
03.02.2023,42.00,42.24,40.74,41.09,141217,2.21
02.02.2023,41.81,42.78,41.60,42.00,260111,-0.45
01.02.2023,44.00,44.00,40.25,41.02,620431,7.26
31.01.2023,42.80,44.30,42.50,44.00,287807,-2.73
30.01.2023,42.40,42.96,41.62,42.90,159819,-1.17
27.01.2023,42.58,43.39,42.11,42.21,179870,0.88
26.01.2023,42.22,42.76,41.71,42.36,118170,-0.33
25.01.2023,42.30,42.80,41.60,41.72,147537,1.39
24.01.2023,42.59,43.72,42.37,42.55,242235,0.09
